"","time","1","2","3","4","5","6","7","8","9","10","11","12","13","CTotal","CVen","CArt","CFat","CPoor","CRich","CLiver","CSkin_u","CSkin_e","CSkin_sc_u","CSkin_sc_e"
"1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"2",1,0.0122158254011132,0.00604796635670288,0.0768417121350636,0.0703215116346407,0.0248162079016703,0.00704852603646602,0,0.00811939222382179,0,7.50567092648329e-05,0.367881206628118,0.0144441281033759,0.412188466869739,0.999999999999976,0.00384952481127516,0.00381174350212366,0.00525233849180202,0.00218098538084672,0.00337635481655378,0.00419555121218215,0,0.00350275764616988,0,0.00395035311920173
"3",2,0.00842634746716112,0.00417361772680688,0.0978637773195576,0.064200948103842,0.0171957202538208,0.00369171708170221,0,0.00570156206133915,0,5.2779217953442e-05,0.13533474986914,0.0267146309413455,0.636644149957278,0.999999999999947,0.00265536159679447,0.00263043134042451,0.00668925340530127,0.00199115926259473,0.00233955377603003,0.00219745064387037,0,0.0024596902766778,0,0.00277785357649695
"4",3,0.00557968725954764,0.00276381326121266,0.0870644281535202,0.045412274752129,0.0113930233857083,0.00205015869594293,0,0.00378385469743997,0,3.50330870588347e-05,0.049787180797648,0.0349675622952852,0.757162983614451,0.999999999999944,0.00175830480868098,0.00174189911420966,0.00595108873229803,0.00140843825798248,0.00155007120893991,0.00122033255710889,0,0.00163237907568592,0,0.00184384668730709
"5",4,0.0036968462470326,0.00183110147619069,0.0679097176975242,0.0304653142673341,0.00754599541366122,0.00121286446309371,0,0.00250486235764713,0,2.31900017727167e-05,0.0183166108303461,0.0404256405503658,0.826067856694998,0.999999999999967,0.001164972556838,0.00115405555222102,0.00464181255622175,0.000944865994706885,0.001026666042675,0.000721943132793875,0,0.00108061361417046,0,0.00122052640909035
"6",5,0.00247239419171001,0.00122464838463202,0.0498077425816866,0.0203289816361639,0.00504438206727265,0.000756431161514857,0,0.00167299396099746,0,1.54870632970824e-05,0.00673927671506792,0.0440569387992422,0.867880723438424,1.00000000000001,0.00077911581671534,0.000771837217205053,0.00340449368295876,0.000630492870891786,0.000686310485343218,0.000450256643758844,0,0.000721740276530398,0,0.000815108594583285
"7",6,0.00166821256645438,0.00082651830891139,0.0354004263250279,0.0136497004599608,0.00340231560422078,0.00048977292301806,0,0.00112760517258394,0,1.04376397411756e-05,0.00247926992882303,0.0464959155027491,0.894449825568369,0.99999999999986,0.000525697237328061,0.000520914900574405,0.00241971471804702,0.000423338413297795,0.000462900082206909,0.000291531501796464,0,0.000486456071002563,0,0.000549349460061872
"8",7,0.00113260704974198,0.000561203415475412,0.0247446025584329,0.00923003207255229,0.00230968088179807,0.000324962659575468,0,0.000765098416832182,0,7.08159497007603e-06,0.000912012823585633,0.0481467518461977,0.911865966680842,1,0.00035691398626323,0.00035369963160215,0.00169136039360444,0.000286264679854613,0.000314242296843275,0.000193430154509207,0,0.000330068342032866,0,0.000372715524740844
"9",8,0.000772217659611173,0.000382438758985824,0.0171417456785181,0.00627473166727753,0.00157437718131815,0.000218677592121917,0,0.000521359937617862,0,4.82546457098585e-06,0.000335551467142531,0.0492699231833594,0.923504151409411,0.999999999999935,0.000243345901137975,0.000241032831293587,0.00117168459866836,0.000194607563417719,0.000214200977050088,0.000130165233405903,0,0.000224918005874833,0,0.000253971819525571
"10",9,0.000527720526904659,0.000261353629880946,0.0118177200643551,0.00428065608668611,0.00107582061738093,0.000148393319670838,0,0.00035619869914964,0,3.29674200065376e-06,0.000123746528360108,0.0500364626653412,0.931368631120087,0.999999999999817,0.000166298485369115,0.000164718674294714,0.000807773073435069,0.000132762338699442,0.000146370152024616,8.83293569469272e-05,0,0.000153666393075772,0,0.000173512736876513
"11",10,0.00036106274462769,0.000178815710550174,0.00812523955655741,0.00292577947742528,0.000736034736806065,0.00010113368262712,0,0.000243672524178138,0,2.25524746023641e-06,4.48128488023853e-05,0.0505608583839714,0.93672033508698,0.999999999999986,0.00011378027666839,0.000112698977237505,0.00055538206128212,9.07415400994102e-05,0.000100140780517832,6.01986206113811e-05,0,0.000105121882734313,0,0.000118697234749285
"12",11,0.000247250993291409,0.000122450289425084,0.00557848254781691,0.00200237037973259,0.000504013214557469,6.91128919740261e-05,0,0.0001668499261086,0,1.5442266252264e-06,1.64180467976668e-05,0.0509197337144477,0.940371773769321,1.0000000000001,7.79152289783851e-05,7.71745521586663e-05,0.000381304343664861,6.21024836315663e-05,6.85732264704039e-05,4.11386261750156e-05,0,7.19801234290767e-05,0,8.12750855382316e-05
